Name,Estado,Cidade,Segmento,Público Alvo,Modelo de Receita,Ano de Fundação,Tamanho,Mais Informação,Momento
HoldBrasil,SP,SÃO PAULO,Finanças,B2B,Outros,2010,51-100,sbase.me/s/holdbrasil,Tração
Embeddo Computação Aplicada,SP,SÃO PAULO,Automobilismo,B2B,Outros,2019,6-10,sbase.me/s/embeddo-computacao-aplicada,Tração
Pápagos,SP,SÃO PAULO,Vendas e Marketing,B2B,SaaS,2020,1-5,sbase.me/s/papagos,Ideação
Stairs Digital,SP,ITU,Desenvolvimento de Software,B2B,Outros,2016,11-20,sbase.me/s/stairs-digital,Operação
greenddt,SP,SÃO PAULO,Serviços Profissionais,B2B2C,Marketplace,2019,1-5,sbase.me/s/greenddt,Operação
OSAS TECNOLOGIA,SP,BARUERI,Cloud Computing,B2B,SaaS,2015,21-50,sbase.me/s/osas-tecnologia,Tração
Visibilia,SP,SÃO CARLOS,Big Data,B2B2C,SaaS,2020,6-10,sbase.me/s/visibilia,Operação
São Paulo para Crianças,SP,SÃO PAULO,Infantil,B2B,Marketplace,2016,6-10,sbase.me/s/sao-paulo-para-criancas,Tração
TamoVip,SP,SÃO PAULO,Entretenimento,B2C,Marketplace,2020,11-20,sbase.me/s/tamovip,Tração
Vendors,SP,SÃO PAULO,Vendas e Marketing,B2B2C,Outros,2019,1-5,sbase.me/s/vendors,Operação
iupeg,SP,JUNDIAÍ,Varejo / Atacado,B2B2C,Outros,2020,1-5,sbase.me/s/iupeg,Operação
Pé de Feijão,SP,SÃO PAULO,Saúde e Bem-estar,B2B,Outros,2014,6-10,sbase.me/s/pe-de-feijao,Tração
ZahavLab,SP,SÃO PAULO,Cloud Computing,B2B,Outros,2019,1-5,sbase.me/s/zahavlab-1606860604926,Operação
99farma,SP,RIO CLARO,Saúde e Bem-estar,B2B2C,Marketplace,2020,1-5,sbase.me/s/99farma,Operação
Obra Play,SP,ARAÇATUBA,Construção Civil,B2B2C,Marketplace,2020,1-5,sbase.me/s/obra-play,Tração
YouGo Mobile,SP,BAURU,Logística e Mobilidade Urbana,B2B,Outros,(Não informado),1-5,sbase.me/s/yougo-mobile,Tração
PushStart,SP,SÃO PAULO,Recursos Humanos,B2B,SaaS,2014,21-50,sbase.me/s/pushstart,Tração
